Subject ID,Examiner ID,Language,Datetime,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
84,Min Yi,Mandarin,2021_02_11_10_43_28,2.0,-2.0,0.0,-1.0,1.0,-1.0,1.0,-2.0
66,artika,Mandarin,2021_01_28_10_29_41,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
375,chin,Mandarin,2021_04_16_12_24_42,2.0,-1.0,2.0,2.0,-2.0,-2.0,2.0,2.0
72,Artika,Mandarin,2021_02_02_11_22_12,2.0,2.0,-1.0,2.0,0.0,2.0,-1.0,2.0
75,Artika,Mandarin,2021_02_04_11_42_34,-1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
399,eileen,Mandarin,2021_04_23_09_56_44,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
366,Valerie,Mandarin,2021_04_16_12_14_58,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0
413,Valerie,Mandarin,2021_04_16_10_14_59,2.0,1.0,1.0,2.0,-2.0,0.0,0.0,2.0
377,yiwen,Mandarin,2021_04_19_10_42_59,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
369,yiwen,Mandarin,2021_04_16_12_37_14,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0
416,eileen,Mandarin,2021_04_16_10_29_09,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
69,Min Yi,Mandarin,2021_02_01_09_57_23,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
42,poorani,Mandarin,2020_10_21_09_50_54,1.0,2.0,0.0,1.0,2.0,2.0,0.0,-1.0
56,vernessa,Mandarin,2020_10_29_10_10_01,1.0,0.0,1.0,1.0,-2.0,2.0,1.0,1.0
382,eileen,Mandarin,2021_04_19_10_52_02,2.0,1.0,0.0,2.0,-1.0,2.0,0.0,1.0
367,yiwen,Mandarin,2021_04_16_12_27_53,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
424,Valerie,Mandarin,2021_04_19_13_15_32,-2.0,-1.0,0.0,1.0,-2.0,1.0,2.0,0.0
26,Emmaus,Mandarin,2020_11_06_10_00_42,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0
415,Valerie,Mandarin,2021_04_16_10_24_17,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-2.0
68,Min Yi,Mandarin,2021_01_28_11_38_48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Richelle,Mandarin,2021_04_23_10_03_32,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0
91,Artika,Mandarin,2021_02_17_11_26_36,2.0,1.0,0.0,0.0,2.0,-1.0,1.0,2.0
400,chin,Mandarin,2021_04_23_10_11_20,2.0,0.0,2.0,0.0,2.0,-2.0,-2.0,2.0
394,chin,Mandarin,2021_04_23_10_12_52,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0
23,Artika,Mandarin,2020_10_20_10_09_00,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
71,Artika,Mandarin,2021_02_02_10_01_08,2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,-2.0
79,Artika,Mandarin,2021_02_09_09_53_00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
376,norhamizah,Mandarin,2021_04_16_12_10_13,2.0,-2.0,-2.0,1.0,2.0,2.0,2.0,-2.0
414,Valerie,Mandarin,2021_04_16_10_23_25,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
374,eileen,Mandarin,2021_04_16_12_14_24,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0
39,poorani,Mandarin,2020_10_19_11_25_58,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0
410,yiwen,Mandarin,2021_04_16_10_20_07,2.0,2.0,0.0,1.0,-2.0,2.0,1.0,1.0
50,poorani,Mandarin,2020_10_21_11_08_32,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
37,poorani,Mandarin,2020_10_19_10_03_49,1.0,1.0,2.0,-1.0,1.0,1.0,2.0,-1.0
48,poorani,Mandarin,2021_01_18_11_08_58,2.0,-2.0,-1.0,-1.0,-1.0,1.0,2.0,1.0
65,Min Yi,Mandarin,2021_01_28_10_05_57,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
407,yiwen,Mandarin,2021_04_19_13_26_04,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
406,yiwen,Mandarin,2021_04_16_10_19_29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Emmaus,Mandarin,2020_11_04_10_09_39,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0
383,Valerie,Mandarin,2021_04_19_10_33_46,2.0,-2.0,1.0,1.0,-1.0,2.0,1.0,2.0
76,Min Yi,Mandarin,2021_02_04_11_35_08,-1.0,0.0,2.0,0.0,-2.0,1.0,0.0,1.0
393,eileen,Mandarin,2021_04_23_10_07_11,2.0,0.0,0.0,1.0,-2.0,1.0,0.0,1.0
420,chin,Mandarin,2021_04_16_10_18_39,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31,Emmaus,Mandarin,2020_11_09_11_23_01,1.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,-1.0
385,norhamizah,Mandarin,2021_04_19_10_36_26,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
408,yiwen,Mandarin,2021_04_16_10_19_22,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
379,chin,Mandarin,2021_04_19_10_58_07,2.0,0.0,2.0,0.0,1.0,1.0,-2.0,-1.0
78,Artika,Mandarin,2021_02_08_10_03_26,2.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0
33,tay chien wen,Mandarin,2021_01_14_09_41_44,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
426,norhamizah,Mandarin,2021_04_19_13_21_15,1.0,2.0,1.0,0.0,-2.0,2.0,-2.0,0.0
73,Min Yi,Mandarin,2021_02_04_10_27_36,2.0,1.0,0.0,0.0,-1.0,-1.0,-2.0,-2.0
427,eileen,Mandarin,2021_04_19_13_26_11,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
67,Artika,Mandarin,2021_01_28_10_54_43,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0
15,Sharmeen,Mandarin,2020_10_28_11_25_48,1.0,-1.0,1.0,2.0,-1.0,2.0,1.0,-1.0
29,Emmaus,Mandarin,2020_11_06_11_24_24,0.0,1.0,0.0,1.0,-1.0,2.0,0.0,2.0
30,Emmaus,Mandarin,2020_11_09_10_16_18,-1.0,-2.0,2.0,-2.0,2.0,2.0,-2.0,-1.0
43,poorani,Mandarin,2021_01_15_11_09_02,0.0,1.0,2.0,2.0,-2.0,2.0,1.0,-1.0
74,Artika,Mandarin,2021_02_04_10_19_04,2.0,1.0,-2.0,2.0,2.0,1.0,0.0,-2.0
32,Emmaus,Mandarin,2020_11_12_10_22_16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
419,chin,Mandarin,2021_04_16_10_22_07,1.0,-2.0,2.0,-2.0,0.0,-2.0,-1.0,2.0
57,vernessa,Mandarin,2021_02_08_10_34_55,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
429,yiwen,Mandarin,2021_04_19_13_26_41,2.0,0.0,1.0,2.0,0.0,1.0,-1.0,2.0
22,Artika,Mandarin,2020_10_26_11_31_05,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
423,norhamizah,Mandarin,2021_04_19_13_21_40,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
25,Emmaus,Mandarin,2020_11_03_11_26_58,1.0,-1.0,-1.0,1.0,0.0,2.0,1.0,2.0
52,tay chien wen,Mandarin,2020_10_26_10_51_24,-2.0,-2.0,-2.0,-2.0,0.0,1.0,2.0,2.0
40,tay chien wen,Mandarin,2021_01_18_10_38_14,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0
432,Richelle,Mandarin,2021_04_19_13_31_20,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Sharmeen,Mandarin,2020_10_22_10_15_13,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0
421,Richelle,Mandarin,2021_04_19_13_25_31,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
70,Artika,Mandarin,2021_02_01_10_29_09,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0
12,Sharmeen,Mandarin,2020_10_21_11_07_47,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
87,Artika,Mandarin,2021_02_18_09_44_13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
373,chin,Mandarin,2021_04_16_12_20_11,0.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0
2,jillian,Mandarin,2020_11_03_10_59_14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38,tay chien wen,Mandarin,2020_10_20_09_33_59,2.0,2.0,0.0,0.0,-2.0,1.0,0.0,-2.0
80,Artika,Mandarin,2021_02_09_11_20_40,2.0,1.0,-1.0,0.0,-2.0,1.0,2.0,-1.0
86,Min Yi,Mandarin,2021_02_17_09_35_28,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
81,Min Yi,Mandarin,2021_02_11_09_29_01,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,-2.0
83,Artika,Mandarin,2021_02_11_09_50_49,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
392,Valerie,Mandarin,2021_04_23_10_02_00,1.0,-1.0,1.0,1.0,2.0,2.0,2.0,2.0
36,poorani,Mandarin,2021_01_15_09_21_34,2.0,1.0,2.0,1.0,-1.0,2.0,1.0,1.0
K95,Jillian,Mandarin,2021_02_26_12_17_05,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
388,chin,Mandarin,2021_04_19_10_55_36,2.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0
378,Valerie,Mandarin,2021_04_19_10_45_01,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
371,eileen,Mandarin,2021_04_16_12_17_17,2.0,2.0,1.0,2.0,2.0,2.0,-2.0,1.0
34,poorani,Mandarin,2021_01_14_09_32_37,1.0,1.0,-2.0,1.0,2.0,-2.0,-1.0,2.0
370,yiwen,Mandarin,2021_04_16_12_30_13,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
366,Valerie,Mandarin,2021_04_16_12_14_58,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0
413,Valerie,Mandarin,2021_04_16_10_14_59,2.0,1.0,1.0,2.0,-2.0,0.0,0.0,2.0
424,Valerie,Mandarin,2021_04_19_13_15_32,-2.0,-1.0,0.0,1.0,-2.0,1.0,2.0,0.0
415,Valerie,Mandarin,2021_04_16_10_24_17,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-2.0
