Subject ID,Examiner ID,Language,Datetime,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
301,minxuan,Tamil,2021_03_29_11_58_35,2,0,1,2,2,2,-1,2
P1103,poorani,Tamil,2021_03_26_10_46_46,1,1,1,2,0,1,0,1
P3463,kirthigah,Tamil,2021_04_20_13_07_17,1,2,0,2,0,2,0,0
224,freda,Tamil,2021_03_31_10_31_13,-1,0,-1,0,0,0,0,2
P1134,poorani,Tamil,2021_03_26_10_45_34,2,1,1,1,1,1,2,2
P3472,kirthanaa,Tamil,2021_04_21_11_34_08,0,-2,0,-2,-2,-1,-2,0
P3474,kirthigah,Tamil,2021_04_21_11_39_17,2,1,2,2,2,2,2,2
303,minxuan,Tamil,2021_03_29_12_17_40,1,2,0,2,1,1,0,2
P2451,kirthanaa,Tamil,2021_04_21_10_06_52,2,2,1,1,1,1,1,1
190,beverley,Tamil,2021_03_22_11_02_22,0,2,0,2,0,1,-2,0
P3471,kirthanaa,Tamil,2021_04_21_11_38_06,2,2,2,2,2,2,2,2
N227,XinTong,Tamil,2021_04_07_14_09_37,1,1,1,1,1,1,1,1
P294,JiaQian,Tamil,2021_03_29_11_30_43,1,1,2,-2,-1,0,1,1
K194,beverley,Tamil,2021_03_26_14_20_39,1,1,1,1,-1,1,1,2
K203,beverley,Tamil,2021_03_31_13_53_55,2,2,2,2,2,2,2,2
P1101,poorani,Tamil,2021_03_26_10_55_39,1,2,1,1,0,1,1,1
P3465,shuenling,Tamil,2021_04_20_13_03_37,2,2,1,2,1,2,1,1
P309,Jolene,Tamil,2021_04_01_12_47_00,1,0,0,0,1,1,0,1
P295,Teh Jolene,Tamil,2021_03_29_11_20_50,-1,1,0,-1,-2,2,-2,0
N211,beverley,Tamil,2021_03_26_12_34_34,-2,2,-2,2,2,2,2,2
P3473,kirthigah,Tamil,2021_04_21_11_38_47,1,0,1,2,1,1,1,2
P3459,poorani,Tamil,2021_04_12_11_31_11,0,2,0,2,-2,0,1,2
K10094,dorothy,Tamil,2021_03_18_11_08_57,0,-1,0,0,0,2,-1,-1
17,Artika,Tamil,2020_10_22_10_34_24,2,2,2,2,2,2,2,2
186,beverley,Tamil,2021_03_24_14_07_59,2,2,0,-2,2,2,1,0
P305,jiaqian,Tamil,2021_03_29_12_03_36,1,2,0,1,1,2,1,2
K10092,dorothy,Tamil,2021_03_18_09_49_27,-2,1,1,0,0,1,0,2
P1119,poorani,Tamil,2021_03_26_10_54_45,2,1,1,2,-1,1,0,-2
N232,beverley,Tamil,2021_04_07_10_41_02,2,2,0,2,2,2,2,2
N216,XinTong,Tamil,2021_03_26_12_28_57,-1,-2,-1,0,0,0,1,2
P3476,Shuen ling,Tamil,2021_04_14_12_00_08,2,1,0,2,0,2,1,0
